Test Time / s,Current / A,Voltage / V,Unix Time / s,Step Count / 1,Temperature 1 / °C,Temperature 2 / °C,Temperature 3 / °C
0.0,0.0,3.8022,1729687914.0,1,26.2,26.2,26.4
0.01,0.0,3.8022,1729687914.0,1,26.2,26.2,26.4
10.0,0.0,3.8022,1729687924.0,1,26.2,26.2,26.4
20.0,0.0,3.8022,1729687934.0,1,26.2,26.2,26.4
30.0,0.0,3.8022,1729687944.0,1,26.0,26.2,26.4
40.0,0.0,3.8022,1729687954.0,1,26.2,26.2,26.4
50.0,0.0,3.8022,1729687964.0,1,26.2,26.2,26.3
60.0,0.0,3.8022,1729687974.0,1,26.2,26.2,26.4
70.0,0.0,3.8022,1729687984.0,1,26.2,26.2,26.4
80.0,0.0,3.8022,1729687994.0,1,26.2,26.2,26.4
90.0,0.0,3.8022,1729688004.0,1,26.2,26.2,26.4
100.0,0.0,3.8022,1729688014.0,1,26.2,26.2,26.4
110.0,0.0,3.8022,1729688024.0,1,26.2,26.2,26.4
120.0,0.0,3.8022,1729688034.0,1,26.2,26.2,26.4
130.0,0.0,3.8022,1729688044.0,1,26.2,26.2,26.5
140.0,0.0,3.8022,1729688054.0,1,26.2,26.2,26.5
150.0,0.0,3.8022,1729688064.0,1,26.2,26.2,26.5
160.0,0.0,3.8022,1729688074.0,1,26.2,26.2,26.5
170.0,0.0,3.8022,1729688084.0,1,26.2,26.2,26.5
180.0,0.0,3.8022,1729688094.0,1,26.2,26.2,26.5
190.0,0.0,3.8022,1729688104.0,1,26.2,26.3,26.4
200.0,0.0,3.8022,1729688114.0,1,26.2,26.2,26.5
210.0,0.0,3.8022,1729688124.0,1,26.2,26.2,26.4
220.0,0.0,3.8022,1729688134.0,1,26.2,26.2,26.5
230.0,0.0,3.8022,1729688144.0,1,26.2,26.2,26.5
240.0,0.0,3.8022,1729688154.0,1,26.2,26.2,26.5
250.0,0.0,3.8022,1729688164.0,1,26.2,26.3,26.5
260.0,0.0,3.8022,1729688174.0,1,26.2,26.2,26.5
270.0,0.0,3.8022,1729688184.0,1,26.2,26.2,26.5
280.0,0.0,3.8022,1729688194.0,1,26.3,26.3,26.5
290.0,0.0,3.8022,1729688204.0,1,26.3,26.3,26.5
300.0,0.0,3.8022,1729688214.0,1,26.3,26.3,26.5
310.0,0.0,3.8022,1729688224.0,1,26.3,26.3,26.5
320.0,0.0,3.8022,1729688234.0,1,26.3,26.3,26.5
330.0,0.0,3.8022,1729688244.0,1,26.3,26.3,26.5
340.0,0.0,3.8022,1729688254.0,1,26.3,26.3,26.5
350.0,0.0,3.8022,1729688264.0,1,26.3,26.3,26.5
360.0,0.0,3.8022,1729688274.0,1,26.3,26.3,26.5
370.0,0.0,3.8022,1729688284.0,1,26.3,26.4,26.5
380.0,0.0,3.8022,1729688294.0,1,26.3,26.3,26.5
390.0,0.0,3.8022,1729688304.0,1,26.3,26.3,26.5
400.0,0.0,3.8022,1729688314.0,1,26.3,26.3,26.5
410.0,0.0,3.8022,1729688324.0,1,26.3,26.4,26.5
420.0,0.0,3.8022,1729688334.0,1,26.3,26.3,26.4
430.0,0.0,3.8022,1729688344.0,1,26.3,26.3,26.5
440.0,0.0,3.8022,1729688354.0,1,26.3,26.3,26.5
450.0,0.0,3.8022,1729688364.0,1,26.4,26.4,26.5
460.0,0.0,3.8022,1729688374.0,1,26.3,26.3,26.5
470.0,0.0,3.8022,1729688384.0,1,26.3,26.3,26.5
480.0,0.0,3.8022,1729688394.0,1,26.3,26.3,26.5
490.0,0.0,3.8022,1729688404.0,1,26.3,26.3,26.5
500.0,0.0,3.8022,1729688414.0,1,26.3,26.3,26.5
510.0,0.0,3.8022,1729688424.0,1,26.3,26.4,26.5
520.0,0.0,3.8022,1729688434.0,1,26.3,26.3,26.5
530.0,0.0,3.8022,1729688444.0,1,26.3,26.3,26.5
540.0,0.0,3.8022,1729688454.0,1,26.3,26.3,26.5
550.0,0.0,3.8022,1729688464.0,1,26.3,26.3,26.5
560.0,0.0,3.8022,1729688474.0,1,26.3,26.4,26.4
570.0,0.0,3.8022,1729688484.0,1,26.3,26.3,26.5
580.0,0.0,3.8022,1729688494.0,1,26.3,26.3,26.5
590.0,0.0,3.8022,1729688504.0,1,26.3,26.3,26.5
600.0,0.0,3.8022,1729688514.0,1,26.3,26.3,26.5
610.0,0.0,3.8022,1729688524.0,1,26.3,26.3,26.5
620.0,0.0,3.8022,1729688534.0,1,26.3,26.3,26.5
630.0,0.0,3.8022,1729688544.0,1,26.3,26.3,26.4
640.0,0.0,3.8022,1729688554.0,1,26.3,26.3,26.5
650.0,0.0,3.8022,1729688564.0,1,26.3,26.3,26.5
660.0,0.0,3.8022,1729688574.0,1,26.3,26.3,26.5
670.0,0.0,3.8022,1729688584.0,1,26.3,26.3,26.5
680.0,0.0,3.8022,1729688594.0,1,26.3,26.3,26.5
690.0,0.0,3.8022,1729688604.0,1,26.3,26.3,26.6
700.0,0.0,3.8022,1729688614.0,1,26.3,26.3,26.5
710.0,0.0,3.8022,1729688624.0,1,26.3,26.3,26.5
720.0,0.0,3.8022,1729688634.0,1,26.1,26.3,26.5
730.0,0.0,3.8022,1729688644.0,1,26.3,26.3,26.4
740.0,0.0,3.8022,1729688654.0,1,26.3,26.3,26.5
750.0,0.0,3.8022,1729688664.0,1,26.3,26.3,26.5
760.0,0.0,3.8022,1729688674.0,1,26.3,26.3,26.5
770.0,0.0,3.8022,1729688684.0,1,26.3,26.3,26.5
780.0,0.0,3.8022,1729688694.0,1,26.3,26.3,26.5
790.0,0.0,3.8022,1729688704.0,1,26.3,26.3,26.5
800.0,0.0,3.8022,1729688714.0,1,26.3,26.3,26.5
810.0,0.0,3.8022,1729688724.0,1,26.3,26.3,26.5
820.0,0.0,3.8022,1729688734.0,1,26.3,26.4,26.5
830.0,0.0,3.8022,1729688744.0,1,26.3,26.3,26.5
840.0,0.0,3.8022,1729688754.0,1,26.3,26.3,26.5
850.0,0.0,3.8022,1729688764.0,1,26.3,26.3,26.5
860.0,0.0,3.8022,1729688774.0,1,26.3,26.3,26.5
870.0,0.0,3.8022,1729688784.0,1,26.3,26.4,26.5
880.0,0.0,3.8022,1729688794.0,1,26.3,26.3,26.5
890.0,0.0,3.8022,1729688804.0,1,26.3,26.3,26.5
900.0,0.0,3.8022,1729688814.0,1,26.3,26.3,26.5
910.0,0.0,3.8022,1729688824.0,1,26.3,26.3,26.5
920.0,0.0,3.8022,1729688834.0,1,26.3,26.3,26.5
930.0,0.0,3.8022,1729688844.0,1,26.3,26.3,26.5
940.0,0.0,3.8022,1729688854.0,1,26.3,26.3,26.5
950.0,0.0,3.8022,1729688864.0,1,26.3,26.4,26.5
960.0,0.0,3.8022,1729688874.0,1,26.3,26.3,26.4
970.0,0.0,3.8022,1729688884.0,1,26.3,26.3,26.5
980.0,0.0,3.8022,1729688894.0,1,26.3,26.4,26.5
990.0,0.0,3.8022,1729688904.0,1,26.3,26.3,26.5
1000.0,0.0,3.8022,1729688914.0,1,26.3,26.4,26.5
1010.0,0.0,3.8022,1729688924.0,1,26.3,26.3,26.5
1020.0,0.0,3.8022,1729688934.0,1,26.3,26.3,26.5
1030.0,0.0,3.8022,1729688944.0,1,26.3,26.3,26.5
1040.0,0.0,3.8022,1729688954.0,1,26.3,26.3,26.5
1050.0,0.0,3.8022,1729688964.0,1,26.3,26.3,26.5
1060.0,0.0,3.8022,1729688974.0,1,26.3,26.4,26.5
1070.0,0.0,3.8022,1729688984.0,1,26.3,26.4,26.5
1080.0,0.0,3.8022,1729688994.0,1,26.4,26.3,26.5
1090.0,0.0,3.8022,1729689004.0,1,26.3,26.3,26.5
1100.0,0.0,3.8022,1729689014.0,1,26.3,26.4,26.5
1110.0,0.0,3.8022,1729689024.0,1,26.3,26.4,26.5
1120.0,0.0,3.8022,1729689034.0,1,26.3,26.4,26.5
1130.0,0.0,3.8022,1729689044.0,1,26.4,26.3,26.5
1140.0,0.0,3.8022,1729689054.0,1,26.3,26.4,26.5
1150.0,0.0,3.8022,1729689064.0,1,26.3,26.3,26.5
1160.0,0.0,3.8022,1729689074.0,1,26.3,26.3,26.5
1170.0,0.0,3.8022,1729689084.0,1,26.3,26.3,26.5
1180.0,0.0,3.8022,1729689094.0,1,26.4,26.4,26.5
1190.0,0.0,3.8022,1729689104.0,1,26.3,26.3,26.5
1200.0,0.0,3.8022,1729689114.0,1,26.2,26.3,26.5
1210.0,0.0,3.8022,1729689124.0,1,26.2,26.3,26.4
1220.0,0.0,3.8022,1729689134.0,1,26.2,26.2,26.4
1230.0,0.0,3.8022,1729689144.0,1,26.3,26.2,26.4
1240.0,0.0,3.8022,1729689154.0,1,26.2,26.3,26.4
1250.0,0.0,3.8022,1729689164.0,1,26.2,26.3,26.4
1260.0,0.0,3.8022,1729689174.0,1,26.3,26.2,26.4
1270.0,0.0,3.8022,1729689184.0,1,26.2,26.3,26.4
1280.0,0.0,3.8022,1729689194.0,1,26.2,26.3,26.4
